Table 4. Marginal posterior slopes and intercepts of log10 body size in relation to log10 population density of zooplankton communities across trophic guilds and trophic states. Values represent medians and 95% credible intervals in parentheses.,,,
             trophic guild,   trophic status   ,slope (95% CrI),  intercept (95% CrI)
omnivores,oligotrophic,-0.54 (-0.68 to -0.39),-0.38 (-0.5 to -0.27)
,mesotrophic,-0.63 (-0.75 to -0.52),0.02 (-0.06 to 0.11)
,eutrophic,-0.57 (-0.67 to -0.46),0.2 (0.12 to 0.29)
,hypereutrophic,-0.77 (-0.89 to -0.66),0.64 (0.54 to 0.74)
 ,,,
herbivorous,oligotrophic,-0.27 (-0.4 to -0.14),0.14 (-0.01 to 0.29)
,mesotrophic,-0.41 (-0.51 to -0.32),0.6 (0.52 to 0.69)
,eutrophic,-0.41 (-0.5 to -0.32),0.7 (0.61 to 0.78)
,hypereutrophic,-0.34 (-0.47 to -0.23),0.66 (0.56 to 0.76)
,,,
predators,oligotrophic,-0.49 (-0.8 to -0.18),-1.57 (-1.76 to -1.39)
,mesotrophic,0.28 (0 to 0.56),-0.76 (-0.93 to -0.58)
,eutrophic,-0.13 (-0.43 to 0.18),-0.79 (-1 to -0.58)
,hypereutrophic,0.04 (-0.33 to 0.44),-0.38 (-0.68 to -0.08)
,,,
